,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
9867,BMAL2,18,16,534,3.0%,"No
"
9868,TENT5A,6,6,534,1.1%,"No
"
9869,CDKN2AIP,6,6,534,1.1%,"No
"
9870,ZNF280C,11,10,534,1.9%,"No
"
9871,ANKRD10,6,6,534,1.1%,"No
"
9872,CA10,7,7,534,1.3%,"No
"
9873,PPP1R9A,32,24,534,4.5%,"No
"
9874,MEIOB,10,10,534,1.9%,"No
"
9875,RABGAP1L,23,18,534,3.4%,"No
"
9876,DUSP22,18,18,534,3.4%,"Yes
"
9877,HMCES,4,4,534,0.7%,"No
"
9878,G3BP2,10,7,534,1.3%,"No
"
9879,CMC2,2,2,534,0.4%,"No
"
9880,DENND4B,36,31,534,5.8%,"No
"
9881,ENY2,3,3,534,0.6%,"No
"
9882,FERMT1,9,9,534,1.7%,"No
"
9883,OTUB1,4,4,534,0.7%,"No
"
9884,VPS50,21,19,534,3.6%,"No
"
9885,LPCAT4,8,8,534,1.5%,"No
"
9886,MRC2,21,20,534,3.7%,"No
"
9887,ASAP3,12,12,534,2.2%,"No
"
9888,SDR39U1,3,3,534,0.6%,"No
"
9889,FAM9A,14,14,534,2.6%,"No
"
9890,KLHL21,4,4,534,0.7%,"No
"
9891,PRR5,5,5,534,0.9%,"No
"
9892,XAB2,19,17,534,3.2%,"No
"
9893,SV2A,22,20,534,3.7%,"No
"
9894,KIF16B,32,22,534,4.1%,"No
"
9895,SRGAP3,26,21,534,3.9%,"No
"
9896,MTMR8,13,9,534,1.7%,"No
"
9897,OTOG,25,23,534,4.3%,"No
"
9898,SLC35E2A,3,3,534,0.6%,"No
"
9899,OLFML3,9,8,534,1.5%,"No
"
9900,AP5Z1,20,20,534,3.7%,"No
"
9901,DOCK10,37,26,534,4.9%,"No
"
9902,MRPS22,7,7,534,1.3%,"No
"
9903,RBM19,17,13,534,2.4%,"No
"
9904,EMSY,17,15,534,2.8%,"Yes
"
9905,FAM9C,3,3,534,0.6%,"No
"
9906,SGSM2,10,9,534,1.7%,"No
"
9907,TASP1,10,8,534,1.5%,"No
"
9908,MFF,9,8,534,1.5%,"No
"
9909,FAM9B,12,10,534,1.9%,"No
"
9910,RNF10,11,9,534,1.7%,"No
"
9911,OR5F1,15,11,534,2.1%,"No
"
9912,OR5AP2,10,10,534,1.9%,"No
"
9913,C5ORF15,4,4,534,0.7%,"No
"
9914,PRTFDC1,4,4,534,0.7%,"No
"
9915,SEC16A,32,30,534,5.6%,"No
"
9916,NT5M,4,3,534,0.6%,"No
"
9917,NIT2,5,5,534,0.9%,"No
"
9918,THUMPD1,6,6,534,1.1%,"No
"
9919,TTC27,12,10,534,1.9%,"No
"
9920,TRMT1,6,6,534,1.1%,"No
"
9921,STAP2,8,7,534,1.3%,"No
"
9922,SMYD2,5,4,534,0.7%,"No
"
9923,SUPT7L,5,5,534,0.9%,"No
"
9924,SMPD4,13,13,534,2.4%,"No
"
9925,OR52B6,6,5,534,0.9%,"No
"
9926,ATP2C2,21,18,534,3.4%,"No
"
9927,AMBRA1,22,18,534,3.4%,"No
"
9928,TMCC2,9,9,534,1.7%,"No
"
9929,ZDHHC7,20,18,534,3.4%,"No
"
9930,ARHGAP44,18,16,534,3.0%,"No
"
9931,POMGNT1,11,11,534,2.1%,"No
"
9932,FAM20B,6,6,534,1.1%,"No
"
9933,MEPE,12,12,534,2.2%,"No
"
9934,NCAPD2,17,16,534,3.0%,"No
"
9935,LHX9,10,9,534,1.7%,"No
"
9936,ARNT2,15,14,534,2.6%,"No
"
9937,OTUD7B,18,16,534,3.0%,"No
"
9938,ZNF407,37,23,534,4.3%,"No
"
9939,TNFSF11,7,5,534,0.9%,"No
"
9940,HELZ,29,24,534,4.5%,"No
"
9941,RGS20,17,16,534,3.0%,"No
"
9942,TMEM225,6,6,534,1.1%,"No
"
9943,OR8D4,6,6,534,1.1%,"No
"
