,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
207,EIF2AK4,1,1,490,0.2%,"No
"
208,CHCHD2,1,1,490,0.2%,"No
"
209,SLAMF8,1,1,490,0.2%,"No
"
210,PROM2,2,2,490,0.4%,"No
"
211,TNFRSF19,1,1,490,0.2%,"No
"
212,SLC10A7,1,1,490,0.2%,"No
"
213,SLC35E3,1,1,490,0.2%,"No
"
214,GPRC5D,1,1,490,0.2%,"No
"
215,FAM217A,1,1,490,0.2%,"No
"
216,HSPA13,1,1,490,0.2%,"No
"
217,POU2F2,1,1,490,0.2%,"No
"
218,RNF40,1,1,490,0.2%,"No
"
219,MAN2C1,1,1,490,0.2%,"No
"
220,STIM1,1,1,490,0.2%,"No
"
221,MAN2A1,1,1,490,0.2%,"No
"
