,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
1180,CFAP74,3,3,440,0.7%,"No
"
1181,DNAAF6,11,10,440,2.3%,"No
"
1182,ACO2,22,19,440,4.3%,"No
"
1183,PLAAT3,3,3,440,0.7%,"No
"
1184,TSPYL5,8,7,440,1.6%,"No
"
1185,ACOX1,13,13,440,3.0%,"No
"
1186,HHLA2,37,31,440,7.0%,"No
"
1187,ITPRIP,12,11,440,2.5%,"No
"
1188,ACP1,6,6,440,1.4%,"No
"
1189,HHLA3,4,4,440,0.9%,"No
"
1190,UNK,15,15,440,3.4%,"No
"
1191,ACP2,11,10,440,2.3%,"No
"
1192,ACP5,5,4,440,0.9%,"No
"
1193,BVES,14,13,440,3.0%,"No
"
1194,ACP3,15,15,440,3.4%,"No
"
1195,MYOM3,73,61,440,13.9%,"No
"
1196,ACRV1,5,4,440,0.9%,"No
"
1197,ACTA1,9,7,440,1.6%,"No
"
1198,ACTA2,9,9,440,2.0%,"No
"
1199,CORO1A,11,11,440,2.5%,"No
"
1200,TIGD2,12,12,440,2.7%,"No
"
1201,FICD,5,5,440,1.1%,"No
"
1202,WDR45,4,4,440,0.9%,"No
"
1203,DRGX,17,17,440,3.9%,"No
"
1204,PHF8,19,19,440,4.3%,"No
"
1205,PGLS,4,4,440,0.9%,"No
"
1206,FBXO36,9,9,440,2.0%,"No
"
1207,KDM6B,45,37,440,8.4%,"No
"
