,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
3106,GPBP1L1,2,2,494,0.4%,"No
"
3107,GLRA1,2,2,494,0.4%,"No
"
3108,AFAP1,3,2,494,0.4%,"No
"
3109,HSPA12A,3,2,494,0.4%,"No
"
3110,GLP1R,1,1,494,0.2%,"No
"
3111,CRYBB3,1,1,494,0.2%,"No
"
3112,GLUD2,2,2,494,0.4%,"No
"
3113,DACT3,1,1,494,0.2%,"No
"
3114,TMEM139,1,1,494,0.2%,"No
"
3115,WFDC8,1,1,494,0.2%,"No
"
3116,TMIE,1,1,494,0.2%,"No
"
3117,NALCN,11,11,494,2.2%,"No
"
3118,SGMS1,1,1,494,0.2%,"No
"
3119,PLEKHA2,2,2,494,0.4%,"No
"
3120,PLEKHA1,1,1,494,0.2%,"No
"
3121,SIX5,1,1,494,0.2%,"No
"
3122,CRYGD,2,2,494,0.4%,"No
"
3123,GLUL,1,1,494,0.2%,"No
"
3124,PRDM13,1,1,494,0.2%,"No
"
3125,OR2A14,1,1,494,0.2%,"No
"
3126,GNAI2,2,2,494,0.4%,"No
"
3127,GNAI1,2,2,494,0.4%,"No
"
3128,TRPV4,2,2,494,0.4%,"No
"
3129,ALOXE3,1,1,494,0.2%,"No
"
3130,HRH4,1,1,494,0.2%,"No
"
3131,OR2F2,2,2,494,0.4%,"No
"
3132,LGI4,1,1,494,0.2%,"No
"
3133,CSF1R,4,3,494,0.6%,"Yes
"
3134,GNA11,1,1,494,0.2%,"Yes
"
3135,KLHL12,2,1,494,0.2%,"No
"
3136,PYM1,2,2,494,0.4%,"No
"
3137,CSF1,1,1,494,0.2%,"Yes
"
3138,GMPR,3,3,494,0.6%,"No
"
3139,ZNF420,4,4,494,0.8%,"No
"
3140,CSE1L,1,1,494,0.2%,"No
"
3141,PGAP4,4,4,494,0.8%,"No
"
3142,GNB4,1,1,494,0.2%,"No
"
3143,CS,3,3,494,0.6%,"No
"
3144,GMDS,1,1,494,0.2%,"No
"
3145,TPPP2,1,1,494,0.2%,"No
"
3146,CSF2RA,2,2,494,0.4%,"No
"
3147,GNB1,1,1,494,0.2%,"Yes
"
3148,GNAZ,3,3,494,0.6%,"No
"
3149,LGR6,2,2,494,0.4%,"No
"
3150,GNAT2,1,1,494,0.2%,"No
"
3151,RXFP1,2,2,494,0.4%,"No
"
3152,MAST4,1,1,494,0.2%,"No
"
3153,CSN2,1,1,494,0.2%,"No
"
3154,GNAO1,1,1,494,0.2%,"No
"
3155,CSH2,1,1,494,0.2%,"No
"
3156,GNAL,1,1,494,0.2%,"No
"
3157,AGAP4,2,2,494,0.4%,"No
"
3158,CSF3R,1,1,494,0.2%,"Yes
"
3159,CCNYL1,1,1,494,0.2%,"No
"
3160,CCDC97,2,1,494,0.2%,"No
"
3161,VCAN,4,4,494,0.8%,"No
"
3162,GNGT1,1,1,494,0.2%,"No
"
3163,CSNK2B,1,1,494,0.2%,"No
"
3164,CSNK2A2,2,2,494,0.4%,"No
"
3165,B3GAT1,1,1,494,0.2%,"No
"
3166,MTBP,3,2,494,0.4%,"No
"
3167,FOXP1,3,3,494,0.6%,"Yes
"
3168,FAM163A,1,1,494,0.2%,"No
"
3169,CSNK1E,1,1,494,0.2%,"No
"
3170,GNB3,2,2,494,0.4%,"No
"
3171,GNB2,2,1,494,0.2%,"No
"
3172,ZNF616,2,2,494,0.4%,"No
"
3173,ATPAF2,2,2,494,0.4%,"No
"
3174,OTUD7A,2,2,494,0.4%,"No
"
3175,CST5,1,1,494,0.2%,"No
"
3176,SPATA32,1,1,494,0.2%,"No
"
3177,GNRHR,3,2,494,0.4%,"No
"
3178,TAF5L,3,2,494,0.4%,"No
"
3179,CSPG4,3,3,494,0.6%,"No
"
3180,NCAN,5,5,494,1.0%,"No
"
3181,GNL1,1,1,494,0.2%,"No
"
3182,ST6GALNAC4,1,1,494,0.2%,"No
"
3183,CACNG4,1,1,494,0.2%,"No
"
3184,ALDH1L2,1,1,494,0.2%,"No
"
3185,GOLGA6D,1,1,494,0.2%,"No
"
3186,TFAP2E,1,1,494,0.2%,"No
"
3187,NSG1,2,2,494,0.4%,"No
"
3188,CEP85L,3,3,494,0.6%,"No
"
3189,CSTF3,3,3,494,0.6%,"No
"
3190,ANKRD1,1,1,494,0.2%,"No
"
3191,IGHV4-39,1,1,494,0.2%,"No
"
3192,LDLRAD2,1,1,494,0.2%,"No
"
3193,CSTB,1,1,494,0.2%,"No
"
3194,STAU2,3,3,494,0.6%,"No
"
3195,ZNF160,1,1,494,0.2%,"No
"
3196,HEPN1,1,1,494,0.2%,"No
"
3197,PERP,1,1,494,0.2%,"No
"
3198,NLRP12,2,2,494,0.4%,"No
"
3199,ZNF765,1,1,494,0.2%,"No
"
3200,ATPSCKMT,1,1,494,0.2%,"No
"
3201,ZNF468,2,2,494,0.4%,"No
"
